nome,nota 1,nota 2,nota_pesquisa
TechNova,0.3,4.5,2.4
InovaCorp,1.4,1.6,1.5
EcoGen Solutions,2.5,2.6,2.55
NovaDigital,3.7,3.6,3.65
PrimeTech,4.8,4.6,4.7
VisionaSys,5.9,5.6,5.75
BlueWave,7.0,6.6,6.8
Nexa Global,8.1,7.6,7.85
CyberCore,9.2,8.6,8.9
FutureLink,10.3,9.6,9.95
InovaSource,11.4,10.6,11.0
QuantumTech,12.7,11.6,12.15
UrbanEdge,13.8,12.6,13.2
DigiPulse,14.9,13.6,14.25
NextEra,15.1,14.6,14.85
StellarSoft,16.2,15.6,15.9
AlphaNet,17.3,16.6,16.95
Vertex Innovations,18.4,17.6,18.0
Synergia Solutions,19.5,18.6,19.05
BrightPath,20.7,19.6,20.15
Infinity Labs,21.8,20.6,21.2
NovaHorizons,22.9,21.6,22.25
EliteDynamics,23.9,22.6,23.25
CoreAxis,25.0,23.6,24.3
Zenova,26.1,24.6,25.35
OmniTech,27.2,25.6,26.4
HyperLogic,28.3,26.6,27.45
NeoStream,29.4,27.6,28.5
CloudShift,30.5,28.6,29.55
DataForge,31.6,29.6,30.6
OptiWave,32.7,30.6,31.65
VortexLabs,33.8,31.6,32.7
TrendiSoft,34.9,32.6,33.75
AxionWorks,36.0,33.6,34.8
MobiTech,37.1,34.6,35.85
Skybound,38.2,35.6,36.9
StratoNet,39.3,36.6,37.95
PulseWare,40.4,37.6,39.0
CyberNova,41.5,38.6,40.05
NanoLogic,42.6,39.6,41.1
ElevateIQ,43.7,40.6,42.15
Brightline,44.8,41.6,43.2
CodeSphere,45.9,42.6,44.25
TerraNova,47.0,43.6,45.3
SmartForge,48.1,44.6,46.35
NetRise,49.2,45.6,47.4
NextSync,50.3,46.6,48.45
BlueNova,51.4,47.6,49.5
FutureScale,52.5,48.6,50.55
AetherNet,53.6,49.6,51.6
